role,features
AI Researcher,"Deep Learning, Mathematics, Python, Research, NLP, TensorFlow"
Machine Learning Engineer,"Keras, Scikit-learn, TensorFlow, Python"
Business Analyst,"UML, Data Modeling, Excel, Requirement Gathering, Power BI"
Architect,"3D Modeling, Building Codes, Design, Blueprints"
AI Researcher,"TensorFlow, Mathematics, Research, Deep Learning, Python, NLP"
Nurse,"First Aid, Emergency Response, Patient Monitoring, IV Insertion"
Product Manager,"Customer Research, Analytics, Agile, Scrum"
AI Researcher,"NLP, Mathematics, Deep Learning, Python"
Journalist,"Interviewing, Research, Editing, Reporting"
Doctor,"Physiology, Prescribing, Patient Care, Anatomy, Surgery, Diagnosis"
Data Scientist,"Matplotlib, Scikit-learn, Jupyter, Python, Pandas"
HR Manager,"Payroll, Compliance, Training"
Plumber,"Repair, Blueprint Reading, Sanitation"
Software Engineer,"OOP, C++, Java, Linux"
Web Developer,"JavaScript, MongoDB, Node.js, CSS, React, Express"
Electrician,"Troubleshooting, Circuit Design, Installation, Wiring, Safety Compliance"
Doctor,"Physiology, Prescribing, Surgery, Anatomy"
Journalist,"Research, Writing, Reporting, Interviewing, Editing"
Machine Learning Engineer,"ML algorithms, NLP, Keras"
Electrician,"Safety Compliance, Wiring, Troubleshooting, Circuit Design"
HR Manager,"Compliance, Payroll, Training, Employee Relations, Recruitment"
Cybersecurity Analyst,"Firewalls, Vulnerability Assessment, Python"
Civil Engineer,"Structural Design, Concrete Technology, AutoCAD, Project Management, Site Supervision"
Architect,"3D Modeling, Design, Building Codes, Blueprints, AutoCAD"
Product Manager,"Scrum, Analytics, Agile"
Nurse,"First Aid, Patient Monitoring, Medical Records"
Army Personnel,"First Aid, Combat Training, Discipline"
Accountant,"Taxation, Tally, Financial Analysis, Excel, Bookkeeping"
Software Engineer,"C++, OOP, Git, Python"
Architect,"Design, Building Codes, AutoCAD, Blueprints, 3D Modeling"
Cybersecurity Analyst,"Ethical Hacking, Networking, Python, IDS/IPS, Vulnerability Assessment"
Cybersecurity Analyst,"Vulnerability Assessment, Python, Networking, IDS/IPS"
Software Engineer,"C++, Git, OOP, Python, Linux, Java"
Sales Executive,"Product Knowledge, Lead Generation, Target Achievement, CRM, Negotiation"
Cloud Engineer,"Azure, Terraform, AWS"
Army Personnel,"Discipline, Strategy, Survival Skills"
Mechanical Engineer,"SolidWorks, Maintenance, CAD, Material Science, Thermodynamics"
Software Engineer,"Git, OOP, Linux, C++, Python"
Electrician,"Wiring, Installation, Safety Compliance, Troubleshooting"
Doctor,"Surgery, Diagnosis, Physiology, Anatomy, Prescribing, Patient Care"
Cybersecurity Analyst,"Vulnerability Assessment, Ethical Hacking, Networking"
HR Manager,"Payroll, Employee Relations, Training, Compliance, Recruitment"
Doctor,"Surgery, Diagnosis, Prescribing"
Police Officer,"Firearms Training, Physical Fitness, Traffic Control, Investigation, Law Enforcement"
Sales Executive,"CRM, Target Achievement, Negotiation"
Doctor,"Patient Care, Physiology, Prescribing, Surgery, Diagnosis"
HR Manager,"Training, Employee Relations, Recruitment, Compliance, Payroll"
Lawyer,"Advocacy, Civil Law, Legal Research, Court Procedures, Drafting, Criminal Law"
Lawyer,"Advocacy, Criminal Law, Drafting, Civil Law, Legal Research"
Lawyer,"Court Procedures, Drafting, Advocacy"
Nurse,"IV Insertion, Patient Monitoring, First Aid, Medical Records, Emergency Response"
Mechanical Engineer,"Material Science, Thermodynamics, CAD, SolidWorks, Maintenance"
Civil Engineer,"Structural Design, Concrete Technology, AutoCAD"
Web Developer,"React, Node.js, Express, JavaScript, MongoDB, CSS"
Web Developer,"React, MongoDB, JavaScript, Node.js, HTML"
Accountant,"Excel, Taxation, Financial Analysis, Tally, Bookkeeping"
Army Personnel,"First Aid, Discipline, Combat Training, Survival Skills, Strategy"
Data Scientist,"Scikit-learn, SQL, Pandas"
Sales Executive,"CRM, Negotiation, Product Knowledge, Target Achievement, Lead Generation"
Mechanical Engineer,"Thermodynamics, Material Science, Maintenance, CAD"
Journalist,"Writing, Reporting, Editing"
Mechanical Engineer,"Maintenance, Thermodynamics, CAD, SolidWorks"
UI/UX Designer,"Wireframing, Design Systems, User Research, Prototyping"
DevOps Engineer,"Linux, CI/CD, Terraform"
Army Personnel,"First Aid, Survival Skills, Discipline, Strategy, Combat Training"
Lawyer,"Court Procedures, Drafting, Civil Law, Criminal Law"
Army Personnel,"Strategy, Discipline, First Aid"
Data Scientist,"NumPy, Matplotlib, SQL, Jupyter"
Cloud Engineer,"Azure, Cloud Architecture, Linux"
Civil Engineer,"Structural Design, Concrete Technology, Project Management"
Web Developer,"React, MongoDB, Node.js, CSS"
Police Officer,"Firearms Training, Law Enforcement, Traffic Control"
Doctor,"Anatomy, Physiology, Surgery, Prescribing, Diagnosis, Patient Care"
Journalist,"Reporting, Editing, Research"
Cloud Engineer,"Azure, Linux, AWS, Terraform, GCP, Cloud Architecture"
Web Developer,"HTML, Node.js, Express, CSS, MongoDB, JavaScript"
Sales Executive,"Negotiation, Product Knowledge, Lead Generation"
DevOps Engineer,"AWS, CI/CD, Terraform, Docker"
Teacher,"Subject Knowledge, Student Assessment, Communication, Lesson Planning, Classroom Management"
DevOps Engineer,"Kubernetes, Monitoring, CI/CD, Docker, AWS, Linux"
HR Manager,"Compliance, Recruitment, Payroll, Employee Relations, Training"
Cloud Engineer,"Azure, Networking, Cloud Architecture, Terraform, Linux"
Product Manager,"Customer Research, Analytics, Roadmaps"
Lawyer,"Drafting, Civil Law, Legal Research"
Sales Executive,"CRM, Target Achievement, Product Knowledge, Negotiation"
UI/UX Designer,"Adobe XD, Figma, Design Systems, User Research"
Product Manager,"Customer Research, Wireframing, Roadmaps"
Mobile App Developer,"Android Studio, Kotlin, Java, Swift"
Accountant,"Taxation, Excel, Financial Analysis, Tally, Bookkeeping"
DevOps Engineer,"Linux, Terraform, Kubernetes, AWS, Docker"
Web Developer,"React, MongoDB, JavaScript, Express, CSS"
Nurse,"IV Insertion, First Aid, Patient Monitoring, Emergency Response, Medical Records"
Civil Engineer,"Site Supervision, AutoCAD, Concrete Technology, Structural Design, Project Management"
Plumber,"Water Systems, Pipe Fitting, Sanitation, Blueprint Reading"
Civil Engineer,"Structural Design, Project Management, Concrete Technology, Site Supervision, AutoCAD"
Cloud Engineer,"Azure, Networking, GCP, Terraform, Linux, Cloud Architecture"
Cybersecurity Analyst,"Firewalls, Python, Ethical Hacking, IDS/IPS, Vulnerability Assessment, Networking"
Sales Executive,"Target Achievement, Product Knowledge, Lead Generation, CRM, Negotiation"
Cybersecurity Analyst,"IDS/IPS, Firewalls, Networking, Ethical Hacking, Python, Vulnerability Assessment"
Cloud Engineer,"GCP, Networking, Terraform, AWS"
Mechanical Engineer,"Material Science, SolidWorks, CAD, Thermodynamics, Maintenance"
Accountant,"Excel, Tally, Taxation, Financial Analysis"
Nurse,"Emergency Response, IV Insertion, Medical Records, First Aid"
DevOps Engineer,"AWS, Terraform, Kubernetes, CI/CD"
Software Engineer,"OOP, Linux, C++, Git, Python"
DevOps Engineer,"CI/CD, Monitoring, AWS, Terraform, Kubernetes"
Machine Learning Engineer,"TensorFlow, Keras, Scikit-learn"
Electrician,"Installation, Troubleshooting, Circuit Design, Safety Compliance, Wiring"
Web Developer,"JavaScript, React, Node.js, CSS, MongoDB"
Professor,"Academic Writing, Research, Grading, Seminars, Teaching"
Journalist,"Reporting, Writing, Editing, Interviewing"
Data Scientist,"Scikit-learn, Python, SQL, NumPy"
Sales Executive,"Lead Generation, CRM, Target Achievement, Product Knowledge"
Product Manager,"Agile, Roadmaps, Customer Research, Analytics, Scrum, Wireframing"
Mechanical Engineer,"Thermodynamics, Material Science, Maintenance, SolidWorks, CAD"
DevOps Engineer,"Linux, CI/CD, AWS, Monitoring, Docker"
Professor,"Teaching, Seminars, Research"
UI/UX Designer,"Prototyping, Design Systems, User Research"
Cloud Engineer,"Networking, Cloud Architecture, Linux, GCP, AWS"
Professor,"Teaching, Seminars, Grading, Academic Writing, Research"
Army Personnel,"Survival Skills, Discipline, Combat Training, First Aid, Strategy"
Cloud Engineer,"Azure, Terraform, AWS, Cloud Architecture, Linux"
Teacher,"Communication, Subject Knowledge, Lesson Planning, Student Assessment, Classroom Management"
Civil Engineer,"Site Supervision, Structural Design, AutoCAD, Concrete Technology"
Electrician,"Circuit Design, Troubleshooting, Installation, Safety Compliance, Wiring"
Business Analyst,"Requirement Gathering, Data Modeling, UML"
UI/UX Designer,"Adobe XD, Figma, Wireframing, User Research"
Doctor,"Physiology, Diagnosis, Surgery"
Lawyer,"Legal Research, Criminal Law, Civil Law, Advocacy"
Professor,"Grading, Research, Seminars, Teaching"
Cloud Engineer,"Cloud Architecture, AWS, GCP, Terraform"
Web Developer,"MongoDB, Express, React, HTML, CSS"
Web Developer,"HTML, React, MongoDB, Node.js, Express"
Mechanical Engineer,"Maintenance, Material Science, CAD"
Nurse,"Patient Monitoring, Emergency Response, Medical Records, IV Insertion, First Aid"
Electrician,"Installation, Safety Compliance, Troubleshooting, Circuit Design"
DevOps Engineer,"Terraform, Linux, Kubernetes, CI/CD, Docker, AWS"
Plumber,"Repair, Sanitation, Pipe Fitting, Water Systems, Blueprint Reading"
Nurse,"Medical Records, Patient Monitoring, First Aid, IV Insertion, Emergency Response"
Nurse,"Medical Records, First Aid, Patient Monitoring, Emergency Response, IV Insertion"
Sales Executive,"Negotiation, Lead Generation, CRM, Product Knowledge, Target Achievement"
Product Manager,"Analytics, Agile, Wireframing, Customer Research, Roadmaps, Scrum"
Sales Executive,"Negotiation, Product Knowledge, Target Achievement, CRM"
DevOps Engineer,"Docker, Linux, Terraform, Monitoring"
Accountant,"Excel, Financial Analysis, Bookkeeping"
Teacher,"Student Assessment, Communication, Lesson Planning, Subject Knowledge, Classroom Management"
HR Manager,"Training, Payroll, Compliance"
Web Developer,"Node.js, CSS, React, JavaScript, Express, MongoDB"
Professor,"Grading, Research, Seminars, Academic Writing, Teaching"
Product Manager,"Analytics, Roadmaps, Customer Research, Wireframing, Scrum"
DevOps Engineer,"Terraform, Linux, Kubernetes, Docker, CI/CD, AWS"
Data Scientist,"NumPy, Matplotlib, Scikit-learn, Jupyter"
Plumber,"Pipe Fitting, Repair, Water Systems"
Cybersecurity Analyst,"IDS/IPS, Firewalls, Ethical Hacking, Python, Vulnerability Assessment, Networking"
Police Officer,"Traffic Control, Physical Fitness, Law Enforcement, Firearms Training, Investigation"
Mechanical Engineer,"CAD, Maintenance, SolidWorks"
Software Engineer,"Linux, Git, OOP, Agile, Python, Java"
Journalist,"Research, Editing, Writing, Interviewing"
Data Scientist,"Matplotlib, NumPy, Scikit-learn, Jupyter, Pandas"
Mobile App Developer,"Swift, Flutter, Kotlin, Android Studio, Java, React Native"
Web Developer,"JavaScript, Node.js, Express, CSS, HTML"
Sales Executive,"Lead Generation, CRM, Target Achievement"
Electrician,"Troubleshooting, Circuit Design, Safety Compliance, Installation, Wiring"
Cloud Engineer,"Azure, Networking, Linux"
Architect,"AutoCAD, 3D Modeling, Design, Blueprints, Building Codes"
Plumber,"Sanitation, Repair, Pipe Fitting, Water Systems"
Product Manager,"Customer Research, Scrum, Analytics, Roadmaps, Agile"
Doctor,"Surgery, Diagnosis, Anatomy, Prescribing, Physiology, Patient Care"
Civil Engineer,"AutoCAD, Project Management, Concrete Technology, Structural Design, Site Supervision"
Software Engineer,"Python, Linux, Agile"
Data Scientist,"Scikit-learn, NumPy, Matplotlib"
Mobile App Developer,"Java, React Native, Swift, Flutter, Android Studio, Kotlin"
Civil Engineer,"AutoCAD, Concrete Technology, Site Supervision, Structural Design, Project Management"
Business Analyst,"Power BI, UML, Requirement Gathering"
Journalist,"Reporting, Research, Editing, Writing, Interviewing"
Civil Engineer,"AutoCAD, Site Supervision, Concrete Technology, Project Management"
Nurse,"Patient Monitoring, Medical Records, IV Insertion, Emergency Response, First Aid"
Cloud Engineer,"Linux, Cloud Architecture, GCP, Azure"
Machine Learning Engineer,"ML algorithms, NLP, Python"
Cybersecurity Analyst,"Networking, Python, Vulnerability Assessment"
Journalist,"Interviewing, Writing, Reporting, Research"
Cloud Engineer,"AWS, GCP, Cloud Architecture"
AI Researcher,"TensorFlow, Python, Mathematics, Research, NLP, Deep Learning"
Doctor,"Anatomy, Patient Care, Physiology"
UI/UX Designer,"Wireframing, Design Systems, Figma, Prototyping"
DevOps Engineer,"CI/CD, Kubernetes, Terraform, Docker, Linux"
Professor,"Research, Grading, Seminars, Teaching"
Plumber,"Pipe Fitting, Water Systems, Repair, Sanitation, Blueprint Reading"
HR Manager,"Compliance, Payroll, Recruitment"
Electrician,"Troubleshooting, Safety Compliance, Wiring, Circuit Design, Installation"
Nurse,"IV Insertion, Emergency Response, First Aid, Patient Monitoring, Medical Records"
HR Manager,"Training, Compliance, Employee Relations, Payroll, Recruitment"
Electrician,"Safety Compliance, Circuit Design, Installation, Troubleshooting"
Machine Learning Engineer,"TensorFlow, NLP, Keras, ML algorithms, Scikit-learn"
Mobile App Developer,"Java, React Native, Kotlin, Android Studio, Swift"
Sales Executive,"CRM, Lead Generation, Negotiation"
Cloud Engineer,"Cloud Architecture, Azure, AWS, Terraform, GCP, Linux"
Professor,"Seminars, Grading, Academic Writing"
DevOps Engineer,"Terraform, Docker, Monitoring, Kubernetes, AWS"
HR Manager,"Training, Recruitment, Payroll, Employee Relations"
Architect,"AutoCAD, Building Codes, Blueprints, Design, 3D Modeling"
Machine Learning Engineer,"Keras, Scikit-learn, TensorFlow, ML algorithms, Python, PyTorch"
Data Scientist,"Matplotlib, NumPy, Pandas, Python"
DevOps Engineer,"Linux, Kubernetes, AWS, CI/CD"
Lawyer,"Court Procedures, Drafting, Civil Law, Criminal Law"
Mobile App Developer,"Flutter, Android Studio, Java"
Software Engineer,"Linux, C++, Java, Python"
AI Researcher,"Deep Learning, TensorFlow, Mathematics, NLP"
AI Researcher,"Deep Learning, TensorFlow, NLP, Mathematics"
Machine Learning Engineer,"Keras, ML algorithms, Python, NLP, Scikit-learn, PyTorch"
UI/UX Designer,"Wireframing, Figma, User Research, Prototyping"
Journalist,"Research, Writing, Interviewing, Reporting, Editing"
Lawyer,"Civil Law, Legal Research, Advocacy, Criminal Law"
Nurse,"Patient Monitoring, First Aid, Emergency Response, IV Insertion, Medical Records"
HR Manager,"Recruitment, Employee Relations, Payroll, Training"
Product Manager,"Wireframing, Scrum, Analytics, Roadmaps, Agile, Customer Research"
Civil Engineer,"Project Management, Structural Design, Site Supervision, AutoCAD, Concrete Technology"
Cybersecurity Analyst,"Python, Networking, Vulnerability Assessment, Firewalls"
Web Developer,"Express, MongoDB, JavaScript, React"
Civil Engineer,"AutoCAD, Structural Design, Concrete Technology"
Mechanical Engineer,"Maintenance, SolidWorks, Thermodynamics, Material Science, CAD"
Journalist,"Interviewing, Editing, Research, Reporting"
Cybersecurity Analyst,"Python, Ethical Hacking, Firewalls, Networking"
Machine Learning Engineer,"TensorFlow, Scikit-learn, PyTorch, ML algorithms"
Sales Executive,"Negotiation, CRM, Lead Generation"
Doctor,"Physiology, Prescribing, Surgery, Anatomy"
Police Officer,"Investigation, Traffic Control, Firearms Training"
Nurse,"Medical Records, Patient Monitoring, Emergency Response, IV Insertion, First Aid"
Data Scientist,"Pandas, Matplotlib, Python"
Professor,"Grading, Research, Teaching, Academic Writing, Seminars"
Mechanical Engineer,"CAD, Material Science, Maintenance"
UI/UX Designer,"Prototyping, Wireframing, Figma, User Research, Adobe XD, Design Systems"
Mobile App Developer,"Java, Flutter, Kotlin, React Native, Android Studio, Swift"
Teacher,"Student Assessment, Classroom Management, Subject Knowledge, Lesson Planning, Communication"
Sales Executive,"Product Knowledge, Target Achievement, CRM, Negotiation, Lead Generation"
Software Engineer,"Python, C++, Git"
Electrician,"Safety Compliance, Troubleshooting, Circuit Design, Wiring"
Electrician,"Troubleshooting, Safety Compliance, Installation"
Doctor,"Surgery, Prescribing, Diagnosis, Patient Care, Anatomy"
Plumber,"Repair, Pipe Fitting, Blueprint Reading, Water Systems, Sanitation"
Teacher,"Lesson Planning, Subject Knowledge, Student Assessment, Classroom Management, Communication"
DevOps Engineer,"Kubernetes, CI/CD, AWS, Docker, Terraform"
